601.0,613.0
739.0,572.0
344.0,508.0
982.0,427.0
613.0,385.0
448.0,430.0
342.0,623.0
908.0,344.0
201.0,561.0
213.0,449.0
320.0,418.0
863.0,488.0
949.0,515.0
408.0,381.0
318.0,594.0
153.0,414.0
497.0,390.0
554.0,395.0
271.0,572.0
857.0,547.0
161.0,315.0
771.0,489.0
773.0,408.0
871.0,387.0
329.0,412.0
689.0,586.0
737.0,350.0
774.0,366.0
1022.0,534.0
632.0,634.0
333.0,542.0
528.0,609.0
251.0,323.0
157.0,500.0
956.0,349.0
493.0,311.0
588.0,485.0
184.0,275.0
511.0,448.0
295.0,338.0
420.0,537.0
286.0,439.0
724.0,505.0
180.0,469.0
657.0,551.0
868.0,563.0
207.0,579.0
538.0,487.0
533.0,558.0
670.0,362.0
836.0,356.0
318.0,376.0
595.0,347.0
909.0,546.0
538.0,314.0
667.0,444.0
155.0,347.0
627.0,396.0
779.0,362.0
774.0,475.0
759.0,617.0
264.0,515.0
998.0,503.0
554.0,450.0
389.0,346.0
490.0,534.0
800.0,396.0
463.0,613.0
175.0,302.0
875.0,555.0
948.0,570.0
420.0,320.0
933.0,338.0
1009.0,399.0
256.0,381.0
428.0,350.0
658.0,636.0
621.0,610.0
359.0,368.0
